#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
1 0.02 0.003880 0.002929 0.002359 1.272451 3.436826 -0.293872 0.000000 1
1 0.02 0.003977 0.003076 0.002465 1.284435 3.434464 -0.291534 0.000000 1
1 0.02 0.004094 0.003244 0.002569 1.297854 3.431984 -0.289079 0.000000 1
1 0.02 0.004222 0.003423 0.002673 1.312026 3.429385 -0.286505 0.000000 1
1 0.02 0.004348 0.003603 0.002776 1.326213 3.426666 -0.283814 0.000000 1
1 0.02 0.004465 0.003774 0.002877 1.339704 3.423828 -0.281004 0.000000 1
1 0.02 0.004563 0.003929 0.002978 1.351890 3.420872 -0.278077 0.000000 1
1 0.02 0.004635 0.004059 0.003077 1.362339 3.417798 -0.275033 0.000000 1
1 0.02 0.004676 0.004160 0.003176 1.370899 3.414606 -0.271874 0.000000 1
1 0.02 0.004682 0.004228 0.003273 1.377847 3.411298 -0.268599 0.000000 1
1 0.02 0.004653 0.004263 0.003369 1.384055 3.407876 -0.265211 0.000000 1
1 0.02 0.004590 0.004266 0.003464 1.390708 3.404341 -0.261711 0.000000 1
1 0.02 0.004497 0.004240 0.003558 1.398579 3.400696 -0.258102 0.000000 1
1 0.02 0.004378 0.004192 0.003651 1.407827 3.396942 -0.254385 0.000000 1
1 0.02 0.004240 0.004126 0.003742 1.418223 3.393084 -0.250565 0.000000 1
1 0.02 0.004090 0.004050 0.003832 1.429337 3.389124 -0.246645 0.000000 1
1 0.02 0.003936 0.003972 0.003921 1.440655 3.385066 -0.242628 0.000000 1
1 0.02 0.003786 0.003899 0.004008 1.451660 3.380916 -0.238519 0.000000 1
1 0.02 0.003646 0.003838 0.004094 1.461889 3.376677 -0.234322 0.000000 1
1 0.02 0.003522 0.003795 0.004179 1.470998 3.372355 -0.230043 0.000000 1
1 0.02 0.003419 0.003775 0.004262 1.478831 3.367956 -0.225688 0.000000 1
1 0.02 0.003340 0.003780 0.004344 1.485504 3.363486 -0.221262 0.000000 1
1 0.02 0.003285 0.003811 0.004425 1.491477 3.358951 -0.216773 0.000000 1
1 0.02 0.003255 0.003869 0.004504 1.497462 3.354360 -0.212227 0.000000 1
1 0.02 0.003247 0.003951 0.004582 1.504073 3.349718 -0.207631 0.000000 1
1 0.02 0.003259 0.004054 0.004658 1.511579 3.345034 -0.202994 0.000000 1
1 0.02 0.003285 0.004173 0.004733 1.519938 3.340317 -0.198324 0.000000 1
1 0.02 0.003320 0.004303 0.004807 1.528914 3.335573 -0.193627 0.000000 1
1 0.02 0.003359 0.004439 0.004879 1.538175 3.330813 -0.188914 0.000000 1
1 0.02 0.003395 0.004575 0.004949 1.547360 3.326043 -0.184192 0.000000 1
1 0.02 0.003424 0.004705 0.005019 1.556136 3.321274 -0.179470 0.000000 1
1 0.02 0.003441 0.004825 0.005087 1.564243 3.316513 -0.174757 0.000000 1
1 0.02 0.003441 0.004931 0.005153 1.571548 3.311770 -0.170061 0.000000 1
1 0.02 0.003423 0.005021 0.005218 1.578089 3.307052 -0.165390 0.000000 1
1 0.02 0.003385 0.005092 0.005282 1.584104 3.302369 -0.160753 0.000000 1
1 0.02 0.003326 0.005145 0.005344 1.589989 3.297727 -0.156158 0.000000 1
1 0.02 0.003247 0.005181 0.005405 1.596142 3.293135 -0.151612 0.000000 1
1 0.02 0.003152 0.005202 0.005464 1.602815 3.288601 -0.147122 0.000000 1
1 0.02 0.003043 0.005211 0.005522 1.610063 3.284131 -0.142697 0.000000 1
1 0.02 0.002923 0.005212 0.005579 1.617789 3.279732 -0.138341 0.000000 1
1 0.02 0.002797 0.005208 0.005634 1.625803 3.275410 -0.134062 0.000000 1
1 0.02 0.002670 0.005205 0.005688 1.633874 3.271171 -0.129866 0.000000 1
1 0.02 0.002546 0.005207 0.005741 1.641777 3.267020 -0.125756 0.000000 1
1 0.02 0.002427 0.005216 0.005792 1.649330 3.262963 -0.121739 0.000000 1
1 0.02 0.002318 0.005237 0.005843 1.656429 3.259003 -0.117819 0.000000 1
1 0.02 0.002221 0.005271 0.005891 1.663075 3.255145 -0.113999 0.000000 1
1 0.02 0.002138 0.005320 0.005939 1.669384 3.251391 -0.110283 0.000000 1
1 0.02 0.002068 0.005385 0.005986 1.675560 3.247746 -0.106674 0.000000 1
1 0.02 0.002011 0.005464 0.006031 1.681831 3.244211 -0.103174 0.000000 1
1 0.02 0.001967 0.005557 0.006075 1.688372 3.240788 -0.099786 0.000000 1
1 0.02 0.001932 0.005661 0.006118 1.695263 3.237481 -0.096511 0.000000 1
1 0.02 0.001905 0.005775 0.006160 1.702484 3.234289 -0.093351 0.000000 1
1 0.02 0.001882 0.005894 0.006200 1.709943 3.231215 -0.090307 0.000000 1
1 0.02 0.001860 0.006015 0.006240 1.717508 3.228258 -0.087380 0.000000 1
1 0.02 0.001836 0.006136 0.006279 1.725038 3.225421 -0.084571 0.000000 1
1 0.02 0.001807 0.006253 0.006317 1.732413 3.222702 -0.081879 0.000000 1
1 0.02 0.001770 0.006363 0.006353 1.739555 3.220103 -0.079306 0.000000 1
1 0.02 0.001724 0.006466 0.006389 1.746449 3.217622 -0.076850 0.000000 1
1 0.02 0.001666 0.006559 0.006424 1.753143 3.215261 -0.074512 0.000000 1
1 0.02 0.001597 0.006641 0.006459 1.759735 3.213018 -0.072292 0.000000 1
1 0.02 0.001517 0.006714 0.006492 1.766346 3.210894 -0.070188 0.000000 1
1 0.02 0.001426 0.006777 0.006524 1.773086 3.208886 -0.068201 0.000000 1
1 0.02 0.001325 0.006831 0.006556 1.780017 3.206996 -0.066330 0.000000 1
1 0.02 0.001217 0.006880 0.006587 1.787151 3.205222 -0.064573 0.000000 1
1 0.02 0.001104 0.006924 0.006618 1.794451 3.203564 -0.062931 0.000000 1
1 0.02 0.000989 0.006966 0.006648 1.801848 3.202020 -0.061403 0.000000 1
1 0.02 0.000873 0.007010 0.006677 1.809261 3.200591 -0.059988 0.000000 1
1 0.02 0.000759 0.007056 0.006706 1.816611 3.199275 -0.058685 0.000000 1
1 0.02 0.000650 0.007106 0.006734 1.823844 3.198071 -0.057493 0.000000 1
1 0.02 0.000547 0.007164 0.006762 1.830938 3.196979 -0.056412 0.000000 1
1 0.02 0.000450 0.007229 0.006790 1.837907 3.195999 -0.055442 0.000000 1
1 0.02 0.000362 0.007302 0.006817 1.844796 3.195129 -0.054580 0.000000 1
1 0.02 0.000282 0.007384 0.006843 1.851667 3.194369 -0.053828 0.000000 1
1 0.02 0.000209 0.007474 0.006870 1.858583 3.193719 -0.053184 0.000000 1
1 0.02 0.000143 0.007571 0.006896 1.865589 3.193177 -0.052648 0.000000 1
1 0.02 0.000083 0.007673 0.006922 1.872702 3.192745 -0.052220 0.000000 1
1 0.02 0.000027 0.007780 0.006948 1.879911 3.192421 -0.051899 0.000000 1
1 0.02 -0.000027 0.007890 0.006974 1.887182 3.192205 -0.051685 0.000000 1
1 0.02 -0.000080 0.008000 0.007000 1.894468 3.192097 -0.051579 0.000000 1
0 0.02 0.007920 0.007920 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007820 0.007921 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007720 0.007922 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007620 0.007923 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007520 0.007924 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007420 0.007925 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007320 0.007926 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007220 0.007927 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007120 0.007928 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.007020 0.007929 0.000000 1.894468 3.144503 -0.450266 0.000000 2
0 0.02 0.006920 0.007930 0.000000 1.894468 3.144503 -0.450266 0.000000 2
1 0.02 0.006897 0.008298 0.000116 1.917042 3.144503 -0.450266 0.000000 2
1 0.02 0.006875 0.008627 0.000231 1.937415 3.144501 -0.450114 0.000000 2
1 0.02 0.006852 0.008896 0.000347 1.954598 3.144498 -0.449810 0.000000 2
1 0.02 0.006827 0.009093 0.000462 1.967980 3.144494 -0.449354 0.000000 2
1 0.02 0.006802 0.009207 0.000577 1.977567 3.144488 -0.448745 0.000000 2
1 0.02 0.006776 0.009236 0.000692 1.984647 3.144480 -0.447984 0.000000 2
1 0.02 0.006749 0.009181 0.000807 1.992239 3.144471 -0.447069 0.000000 2
1 0.02 0.006720 0.009050 0.000921 2.002544 3.144460 -0.445999 0.000000 2
1 0.02 0.006691 0.008853 0.001035 2.015896 3.144448 -0.444775 0.000000 2
1 0.02 0.006661 0.008608 0.001148 2.031785 3.144434 -0.443396 0.000000 2
1 0.02 0.006630 0.008331 0.001261 2.049350 3.144419 -0.441859 0.000000 2
1 0.02 0.006598 0.008041 0.001374 2.067591 3.144402 -0.440166 0.000000 2
1 0.02 0.006566 0.007757 0.001486 2.085488 3.144383 -0.438314 0.000000 2
1 0.02 0.006533 0.007498 0.001598 2.102093 3.144363 -0.436302 0.000000 2
1 0.02 0.006501 0.007277 0.001709 2.116624 3.144341 -0.434130 0.000000 2
1 0.02 0.006468 0.007108 0.001819 2.128560 3.144318 -0.431797 0.000000 2
1 0.02 0.006435 0.006999 0.001928 2.137795 3.144293 -0.429300 0.000000 2
1 0.02 0.006402 0.006954 0.002037 2.144940 3.144267 -0.426641 0.000000 2
1 0.02 0.006369 0.006973 0.002145 2.151628 3.144238 -0.423816 0.000000 2
1 0.02 0.006335 0.007051 0.002253 2.159636 3.144208 -0.420827 0.000000 2
1 0.02 0.006302 0.007182 0.002359 2.169685 3.144177 -0.417671 0.000000 2
1 0.02 0.006267 0.007355 0.002465 2.181669 3.144144 -0.414348 0.000000 2
1 0.02 0.006233 0.007557 0.002569 2.195088 3.144109 -0.410858 0.000000 2
1 0.02 0.006197 0.007773 0.002673 2.209260 3.144072 -0.407200 0.000000 2
1 0.02 0.006160 0.007991 0.002776 2.223447 3.144034 -0.403375 0.000000 2
1 0.02 0.006123 0.008195 0.002877 2.236938 3.143994 -0.399382 0.000000 2
1 0.02 0.006084 0.008374 0.002978 2.249124 3.143952 -0.395222 0.000000 2
1 0.02 0.006043 0.008517 0.003077 2.259573 3.143909 -0.390896 0.000000 2
1 0.02 0.006001 0.008617 0.003176 2.268133 3.143864 -0.386405 0.000000 2
