#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
1 0.049848779397894546 0.005036548928014317 0.004531894225000442 3.796599900707308e-05 0.23510204 3.02378265 0.0 0.0 0
1 0.04987537824616714 0.005036711451527323 0.004631644723747136 3.812413403327329e-05 0.24032653 3.02116465 0.0 0.0 0
1 0.0499205732038033 0.005036785108857151 0.004731485840514961 3.810192735783135e-05 0.24555102 3.01854665 0.0 0.0 0
1 0.049978695359040724 0.005036801630390082 0.004831443178579175 3.800066866717105e-05 0.25077551 3.01592865 0.0 0.0 0
1 0.050039781112079774 0.0050368215807926565 0.004931522734187666 3.797023566077621e-05 0.256 3.01331065 0.0 0.0 0
1 0.05009171753170072 0.005036928032977402 0.005031705886350108 3.818319535705361e-05 0.26122449 3.01069265 0.0 0.0 0
1 0.0501247212569422 0.005037209806528132 0.005131953058586048 3.8796209801006537e-05 0.26644898 3.00807465 0.0 0.0 0
1 0.050136515961150936 0.005037729762362206 0.005232218732489602 3.9894031957653925e-05 0.27167347 3.00545665 0.0 0.0 0
1 0.050134947892302315 0.005038484644472896 0.005332474066744152 4.1427037881634605e-05 0.27689796 3.00283865 0.0 0.0 0
1 0.05013700819136152 0.005039376974635405 0.0054327288651699135 4.3175609016499035e-05 0.28212245 3.00022065 0.0 0.0 0
1 0.05016453427938034 0.005040223375312683 0.005533041522672517 4.4780709800635655e-05 0.28734694 2.99760265 0.0 0.0 0
1 0.05023581454915105 0.005040808851034108 0.0056335057260858456 4.585276594273935e-05 0.29257143 2.99498465 0.0 0.0 0
1 0.05035198684564356 0.005040968235894626 0.005734209218864658 4.612007817486414e-05 0.29779592 2.99236665 0.0 0.0 0
1 0.0504837830342298 0.005040654061429063 0.005835174633328644 4.55406178144587e-05 0.30302041 2.98974865 0.0 0.0 0
1 0.0505729978224302 0.005039953047845983 0.005936310735428115 4.431185133060146e-05 0.3082449 2.98713065 0.0 0.0 0
1 0.050557710799071426 0.00503904223338883 0.006037410328410645 4.277198095888589e-05 0.31346939 2.98451265 0.0 0.0 0
1 0.05040954886565851 0.005038110727422647 0.006138213653972791 4.1251349641337105e-05 0.31869388 2.98189465 0.0 0.0 0
1 0.05015699233401432 0.005037290078678967 0.006238515928326319 3.9956816858243984e-05 0.32391837 2.97927665 0.0 0.0 0
1 0.049876542231079395 0.005036625908344809 0.006338261628963423 3.894097144927001e-05 0.32914286 2.97665865 0.0 0.0 0
1 0.049655852708100426 0.005036095356280426 0.006437568764125765 3.814960994542139e-05 0.33436735 2.97404065 0.0 0.0 0
1 0.04955169351440796 0.0050356493552128866 0.006536669012147622 3.749903663106268e-05 0.33959184 2.97142265 0.0 0.0 0
1 0.04956814722999891 0.0050352508084122605 0.006635802889567418 3.693300887202133e-05 0.34481633 2.96880465 0.0 0.0 0
1 0.04966540380976984 0.005034890297581887 0.006735131808438194 3.643778139505019e-05 0.35004082 2.96618665 0.0 0.0 0
1 0.04978844398419796 0.0050345792185087865 0.006834707356481173 3.602537477414688e-05 0.35526531 2.96356865 0.0 0.0 0
1 0.049894590495291005 0.0050343329694583225 0.006934495732127286 3.5709004600580435e-05 0.3604898 2.96095065 0.0 0.0 0
1 0.049965396506085856 0.005034157744066938 0.007034426128338673 3.548854794061282e-05 0.36571429 2.95833265 0.0 0.0 0
1 0.05000268400396843 0.0050340469610123005 0.00713443133856973 3.5349680522262236e-05 0.37093878 2.95571465 0.0 0.0 0
1 0.05001763937271073 0.005033985493459987 0.007234466567467324 3.5270973343860765e-05 0.37616327 2.95309665 0.0 0.0 0
1 0.050021548160441756 0.00503395639451332 0.007334509651858818 3.523172850540461e-05 0.38138776 2.95047865 0.0 0.0 0
