#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
1 0.05 0.005 0.018 0.0 0.94040816 2.67035265 0.0 0.0 0
1 0.05 0.005 0.0181 0.0 0.94563265 2.66773465 0.0 0.0 0
1 0.05 0.005 0.0182 0.0 0.95085714 2.66511665 0.0 0.0 0
1 0.05 0.005 0.0183 0.0 0.95608163 2.66249865 0.0 0.0 0
1 0.05 0.005 0.0184 0.0 0.96130612 2.65988065 0.0 0.0 0
1 0.05 0.005 0.0185 0.0 0.96653061 2.65726265 0.0 0.0 0
1 0.05 0.005 0.0186 0.0 0.9717551 2.65464465 0.0 0.0 0
1 0.05 0.005 0.0187 0.0 0.97697959 2.65202665 0.0 0.0 0
1 0.05 0.005 0.0188 0.0 0.98220408 2.64940865 0.0 0.0 0
1 0.05 0.005 0.0189 0.0 0.98742857 2.64679065 0.0 0.0 0
1 0.05 0.005 0.019 0.0 0.99265306 2.64417265 0.0 0.0 0
1 0.05 0.005 0.0191 0.0 0.99787755 2.64155465 0.0 0.0 0
1 0.05 0.005 0.0192 0.0 1.00310204 2.63893665 0.0 0.0 0
1 0.05 0.005 0.0193 0.0 1.00832653 2.63631865 0.0 0.0 0
1 0.05 0.005 0.0194 0.0 1.01355102 2.63370065 0.0 0.0 0
1 0.05 0.005 0.0195 0.0 1.01877551 2.63108265 0.0 0.0 0
1 0.05 0.005 0.0196 0.0 1.024 2.62846465 0.0 0.0 0
1 0.05 0.005 0.0197 0.0 1.02922449 2.62584665 0.0 0.0 0
1 0.05 0.005 0.0198 0.0 1.03444898 2.62322865 0.0 0.0 0
1 0.05 0.005 0.0199 0.0 1.03967347 2.62061065 0.0 0.0 0
1 0.05 0.005 0.02 0.0 1.04489796 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02005006 8.671e-05 1.05012864 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02010012 0.00017341 1.05535933 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02015018 0.00026012 1.06059001 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02020024 0.00034682 1.06582069 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0202503 0.00043353 1.07105138 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02030036 0.00052023 1.07628206 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02035041 0.00060694 1.08151274 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02040047 0.00069364 1.08674342 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02045053 0.00078035 1.09197411 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02050059 0.00086705 1.09720479 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02055065 0.00095376 1.10243547 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02060071 0.00104046 1.10766616 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02065077 0.00112717 1.11289684 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02070083 0.00121387 1.11812752 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02075089 0.00130058 1.12335821 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02080095 0.00138728 1.12858889 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02085101 0.00147399 1.13381957 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02090107 0.00156069 1.13905026 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02095113 0.0016474 1.14428094 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02100119 0.0017341 1.14951162 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02105124 0.00182081 1.15474231 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0211013 0.00190751 1.15997299 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02115136 0.00199422 1.16520367 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02120142 0.00208092 1.17043435 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02125148 0.00216763 1.17566504 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02130154 0.00225434 1.18089572 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0213516 0.00234104 1.1861264 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02140166 0.00242775 1.19135709 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02145172 0.00251445 1.19658777 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02150178 0.00260116 1.20181845 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02155184 0.00268786 1.20704914 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0216019 0.00277457 1.21227982 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02165196 0.00286127 1.2175105 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02170202 0.00294798 1.22274119 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02175207 0.00303468 1.22797187 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02180213 0.00312139 1.23320255 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02185219 0.00320809 1.23843324 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02190225 0.0032948 1.24366392 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02195231 0.0033815 1.2488946 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02200237 0.00346821 1.25412528 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02205243 0.00355491 1.25935597 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02210249 0.00364162 1.26458665 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02215255 0.00372832 1.26981733 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02220261 0.00381503 1.27504802 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02225267 0.00390173 1.2802787 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02230273 0.00398844 1.28550938 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02235279 0.00407514 1.29074007 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02240285 0.00416185 1.29597075 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0224529 0.00424855 1.30120143 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02250296 0.00433526 1.30643212 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02255302 0.00442197 1.3116628 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02260308 0.00450867 1.31689348 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02265314 0.00459538 1.32212416 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0227032 0.00468208 1.32735485 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02275326 0.00476879 1.33258553 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02280332 0.00485549 1.33781621 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02285338 0.0049422 1.3430469 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02290344 0.0050289 1.34827758 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0229535 0.00511561 1.35350826 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02300356 0.00520231 1.35873895 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02305362 0.00528902 1.36396963 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02310367 0.00537572 1.36920031 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02315373 0.00546243 1.374431 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02320379 0.00554913 1.37966168 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02325385 0.00563584 1.38489236 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02330391 0.00572254 1.39012305 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02335397 0.00580925 1.39535373 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02340403 0.00589595 1.40058441 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02345409 0.00598266 1.40581509 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02350415 0.00606936 1.41104578 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02355421 0.00615607 1.41627646 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02360427 0.00624277 1.42150714 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02365433 0.00632948 1.42673783 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02370439 0.00641618 1.43196851 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02375445 0.00650289 1.43719919 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0238045 0.0065896 1.44242988 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02385456 0.0066763 1.44766056 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02390462 0.00676301 1.45289124 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02395468 0.00684971 1.45812193 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02400474 0.00693642 1.46335261 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0240548 0.00702312 1.46858329 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02410486 0.00710983 1.47381397 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02415492 0.00719653 1.47904466 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02420498 0.00728324 1.48427534 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02425504 0.00736994 1.48950602 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0243051 0.00745665 1.49473671 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02435516 0.00754335 1.49996739 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02440522 0.00763006 1.50519807 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02445528 0.00771676 1.51042876 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02450533 0.00780347 1.51565944 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02455539 0.00789017 1.52089012 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02460545 0.00797688 1.52612081 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02465551 0.00806358 1.53135149 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02470557 0.00815029 1.53658217 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02475563 0.00823699 1.54181286 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02480569 0.0083237 1.54704354 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02485575 0.0084104 1.55227422 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02490581 0.00849711 1.5575049 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02495587 0.00858382 1.56273559 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02500593 0.00867052 1.56796627 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02505599 0.00875723 1.57319695 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02510605 0.00884393 1.57842764 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02515611 0.00893064 1.58365832 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02520616 0.00901734 1.588889 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02525622 0.00910405 1.59411969 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02530628 0.00919075 1.59935037 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02535634 0.00927746 1.60458105 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0254064 0.00936416 1.60981174 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02545646 0.00945087 1.61504242 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02550652 0.00953757 1.6202731 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02555658 0.00962428 1.62550379 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02560664 0.00971098 1.63073447 2.61799265 0.0 0.0 0
1 0.2 0.005 0.0256567 0.00979769 1.63596515 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02570676 0.00988439 1.64119583 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02575682 0.0099711 1.64642652 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02580688 0.0100578 1.6516572 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02585693 0.01014451 1.65688788 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02590699 0.01023121 1.66211857 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02595705 0.01031792 1.66734925 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02600711 0.01040462 1.67257993 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02605717 0.01049133 1.67781062 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02610723 0.01057803 1.6830413 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02615729 0.01066474 1.68827198 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02620735 0.01075145 1.69350267 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02625741 0.01083815 1.69873335 2.61799265 0.0 0.0 0
1 0.2 0.005 0.02630747 0.01092486 1.70396403 2.61799265 0.0 0.0 0
